Date,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care
"December 21, 2025",6,18,11,2484,14
"December 18, 2025",11,50,6,2472,16
"December 17, 2025",7,31,11,2481,10
"December 16, 2025",8,54,15,2468,9
"December 15, 2025",11,42,9,2470,7
"December 14, 2025",8,35,4,2462,8
"December 11, 2025",7,47,9,2437,10
"December 10, 2025",10,54,5,2439,9
"December 09, 2025",4,30,7,2443,8
"December 08, 2025",9,27,9,2440,4
"December 07, 2025",4,24,13,2429,12
"December 04, 2025",16,39,7,2418,13
"December 03, 2025",4,32,8,2419,7
"December 02, 2025",7,34,6,2407,8
"December 01, 2025",4,26,4,2410,9
"November 30, 2025",4,18,10,2415,0
"November 27, 2025",4,24,8,2389,7
"November 25, 2025",6,47,14,2375,11
"November 24, 2025",9,40,9,2371,13
"November 23, 2025",3,46,22,2375,1
"November 20, 2025",18,57,8,2340,9
"November 19, 2025",7,32,3,2340,10
"November 18, 2025",2,38,8,2345,12
"November 17, 2025",1,35,6,2343,8
"November 16, 2025",5,22,3,2340,5
"November 13, 2025",6,26,16,2317,5
"November 12, 2025",14,48,20,2302,7
"November 11, 2025",11,39,12,2294,14
"November 09, 2025",11,33,5,2294,4
"November 06, 2025",6,33,9,2264,19
"November 05, 2025",8,41,8,2272,7
"November 04, 2025",6,33,6,2270,8
"November 03, 2025",3,28,5,2269,12
"November 02, 2025",5,21,10,2277,7
"October 30, 2025",3,17,14,2287,12
"October 29, 2025",6,25,4,2280,17
"October 28, 2025",6,22,11,2286,6
"October 27, 2025",2,31,8,2282,11
"October 26, 2025",4,35,12,2276,10
"October 23, 2025",4,27,26,2266,18
"October 22, 2025",12,42,13,2261,12
"October 21, 2025",13,39,17,2251,9
"October 20, 2025",10,39,6,2243,7
"October 19, 2025",9,34,17,2237,7
"October 16, 2025",9,33,15,2233,9
"October 15, 2025",8,29,10,2225,15
"October 14, 2025",7,30,16,2235,8
"October 13, 2025",8,24,7,2223,6
"October 09, 2025",11,55,13,2192,12
